Formula,Fractional Enrichment,Fractional Enrichment with zero,Label,Name,Sample,Truth Value_x,Intensity,Unlabeled Fragment,Indistinguishale_isotope,NA Corrected,NA Corrected with zero,Pool_total,Truth Value_y
C10H15N5O10P2,0.0021,0.0021,C13-label-5,ADP,091215_15i,False,149.7847,ADP,{},158.782039471,158.782039471,77410.1175752,False
C10H15N5O10P2,0.1865,0.1865,C13-label-5,ADP,091215_240i,False,10778.84,ADP,{},11342.3217062,11342.3217062,60814.1278886,False
C10H15N5O10P2,0.0,0.0,C13-label-5,ADP,091215_15M,False,0.0,ADP,{},0.4501567772,0.4501567772,96192.29878,False
C10H15N5O10P2,0.1299,0.1299,C13-label-5,ADP,091215_120M,False,5085.111,ADP,{},5357.0170559,5357.0170559,41231.0085178,False
C10H15N5O10P2,0.0,0.0,C13-label-5,ADP,091215_3i,False,0.0,ADP,{},0.2055714174,0.2055714174,127167.007536,False
C10H15N5O10P2,0.0,0.0,C13-label-5,ADP,091215_1M,False,0.0,ADP,{},-0.0773952919,0.0,78287.9792728,True
C10H15N5O10P2,0.0265,0.0265,C13-label-5,ADP,091215_45i,False,3136.98,ADP,{},3317.72895514,3317.72895514,125202.79002,False
C10H15N5O10P2,0.0,0.0,C13-label-5,ADP,091215_3M,False,0.0,ADP,{},-8.9211366626,0.0,223871.971567,True
C10H15N5O10P2,0.0,0.0,C13-label-5,ADP,091215_1i,False,0.0,ADP,{},0.4433706903,0.4433706903,91674.353709,False
C10H15N5O10P2,0.0077,0.0077,C13-label-5,ADP,091215_45M,False,720.8066,ADP,{},762.432149578,762.432149578,99417.7860969,False
C10H15N5O10P2,0.0,0.0,C13-label-5,ADP,091215_0i,False,0.0,ADP,{},0.7923236139,0.7923236139,92841.1462573,False
C10H15N5O10P2,0.0,0.0,C13-label-5,ADP,091215_0M,False,0.0,ADP,{},0.9576760114,0.9576760114,76500.3248155,False
C10H15N5O10P2,0.0,0.0,C13-label-4,ADP,091215_5i,False,0.0,ADP,{},-12.0029592171,0.0,94134.6080651,True
C10H15N5O10P2,0.0043,0.0043,C13-label-4,ADP,091215_120i,False,307.5899,ADP,{},319.330051867,319.330051867,74211.6051908,False
C10H15N5O10P2,0.0,0.0,C13-label-4,ADP,091215_5M,False,0.0,ADP,{},3.1975716489,3.1975716489,92674.8205686,False
C10H15N5O10P2,0.0027,0.0027,C13-label-4,ADP,091215_240M,False,121.8477,ADP,{},130.919925919,130.919925919,48335.2888504,False
C10H15N5O10P2,0.0,0.0,C13-label-4,ADP,091215_15i,False,0.0,ADP,{},-11.0931037241,0.0,77410.1175752,True
C10H15N5O10P2,0.0135,0.0135,C13-label-4,ADP,091215_240i,False,783.2415,ADP,{},820.277959541,820.277959541,60814.1278886,False
C10H15N5O10P2,0.0,0.0,C13-label-4,ADP,091215_15M,False,0.0,ADP,{},-12.4025299357,0.0,96192.29878,True
C10H15N5O10P2,0.007,0.007,C13-label-4,ADP,091215_120M,False,292.1794,ADP,{},287.184243711,287.184243711,41231.0085178,False
C10H15N5O10P2,0.0,0.0,C13-label-4,ADP,091215_3i,False,0.0,ADP,{},-4.9139711993,0.0,127167.007536,True
C10H15N5O10P2,0.0,0.0,C13-label-4,ADP,091215_1M,False,0.0,ADP,{},3.3929213446,3.3929213446,78287.9792728,False
C10H15N5O10P2,0.0,0.0,C13-label-4,ADP,091215_45i,False,0.0,ADP,{},-19.9907247858,0.0,125202.79002,True
C10H15N5O10P2,0.0006,0.0006,C13-label-4,ADP,091215_3M,False,129.5171,ADP,{},131.903367745,131.903367745,223871.971567,False
C10H15N5O10P2,0.0,0.0,C13-label-4,ADP,091215_1i,False,0.0,ADP,{},-12.2781077069,0.0,91674.353709,True
C10H15N5O10P2,0.0,0.0,C13-label-4,ADP,091215_45M,False,0.0,ADP,{},-6.0852073629,0.0,99417.7860969,True
C10H15N5O10P2,0.0,0.0,C13-label-4,ADP,091215_0i,False,0.0,ADP,{},-22.5567895445,0.0,92841.1462573,True
C10H15N5O10P2,0.0,0.0,C13-label-4,ADP,091215_0M,False,0.0,ADP,{},-28.0740574827,0.0,76500.3248155,True
C10H15N5O10P2,0.0011,0.0011,C13-label-3,ADP,091215_5i,False,192.4073,ADP,{},105.814052157,105.814052157,94134.6080651,False
C10H15N5O10P2,0.0012,0.0012,C13-label-3,ADP,091215_120i,False,148.8584,ADP,{},88.7677588397,88.7677588397,74211.6051908,False
C10H15N5O10P2,0.0,0.0,C13-label-3,ADP,091215_5M,False,0.0,ADP,{},-76.0254949224,0.0,92674.8205686,True
C10H15N5O10P2,0.0,0.0,C13-label-3,ADP,091215_240M,False,0.0,ADP,{},-14.3412267477,0.0,48335.2888504,True
C10H15N5O10P2,0.0014,0.0014,C13-label-3,ADP,091215_15i,False,167.2661,ADP,{},108.347503484,108.347503484,77410.1175752,False
